Order_ID,Order_Date,Store_ID,Store_City,Store_Region,Product_ID,Product_Name,Category,Sub_Category,Customer_ID,Customer_Name,Segment,Salesperson,Quantity,Unit_Price,Discount,Sales,Cost,Profit,Payment_Method
ORD001,1/5/2024,ST001,New York,West,PRD101,Samsung Galaxy S23,Electronics,Smartphones,CUST1001,Rajesh Kumar,Consumer,John Smith,2,75000,5,142500,120000,22500,Card
ORD002,1/5/2024,ST001,New York,West,PRD102,Sony Headphones,Electronics,Accessories,CUST1002,Priya Patel,Consumer,John Smith,3,3500,0,10500,7000,3500,Cash
ORD003,1/5/2024,ST002,Los Angeles,North,PRD201,Levis Jeans,Clothing,Men's Wear,CUST1003,Amit Singh,Consumer,Emily Johnson,4,2500,10,9000,6000,3000,Card
ORD004,1/5/2024,ST002,Los Angeles,North,PRD202,Nike Shoes,Clothing,Footwear,CUST1004,Sunita Sharma,Corporate,Emily Johnson,2,6000,5,11400,8000,3400,Online
ORD005,1/5/2024,ST003,Chicago,South,PRD301,Dell Laptop,Electronics,Computers,CUST1005,Vikram Reddy,Corporate,Michael Brown,1,65000,8,59800,52000,7800,Card
ORD006,1/5/2024,ST003,Chicago,South,PRD302,HP Printer,Electronics,Peripherals,CUST1006,Anjali Nair,Home Office,Michael Brown,1,15000,0,15000,11000,4000,Online
ORD007,1/5/2024,ST004,Houston,East,PRD401,Wooden Table,Furniture,Tables,CUST1007,Sushil Das,Consumer,Jessica Davis,1,12000,10,10800,8000,2800,Cash
ORD008,1/5/2024,ST004,Houston,East,PRD402,Office Chair,Furniture,Chairs,CUST1008,Meera Roy,Corporate,Jessica Davis,3,8000,5,22800,16000,6800,Card
ORD009,1/5/2024,ST005,Houston,South,PRD501,Organic Dal,Furniture,Pulses,CUST1009,Karthik Raja,Consumer,David Wilson,5,120,0,600,400,200,Cash
ORD010,1/5/2024,ST005,Houston,South,PRD502,Basmati Rice,Furniture,Grains,CUST1010,Lakshmi Iyer,Consumer,David Wilson,10,150,0,1500,1000,500,Card
ORD011,1/6/2024,ST001,New York,West,PRD103,iPhone 15,Electronics,Smartphones,CUST1011,Ajay Desai,Corporate,John Smith,3,85000,5,242250,200000,42250,Card
ORD012,1/6/2024,ST001,New York,West,PRD104,Samsung TV,Electronics,Televisions,CUST1012,Neha Shah,Consumer,John Smith,1,55000,8,50600,42000,8600,Online
ORD013,1/6/2024,ST002,Los Angeles,North,PRD203,Wrangler Shirt,Clothing,Men's Wear,CUST1013,Deepak Malhotra,Consumer,Emily Johnson,3,1800,0,5400,3600,1800,Cash
ORD014,1/6/2024,ST002,Los Angeles,North,PRD204,Adidas Track,Clothing,Sportswear,CUST1014,Ritu Khanna,Consumer,Emily Johnson,2,3200,5,6080,4200,1880,Card
ORD015,1/6/2024,ST003,Chicago,South,PRD303,Lenovo ThinkPad,Electronics,Computers,CUST1015,Sanjay Shetty,Corporate,Michael Brown,2,72000,10,129600,105000,24600,Card
ORD016,1/6/2024,ST003,Chicago,South,PRD304,Logitech Mouse,Electronics,Accessories,CUST1016,Divya Rao,Home Office,Michael Brown,5,1200,0,6000,4000,2000,Online
ORD017,1/6/2024,ST004,Houston,East,PRD403,Bookshelf,Furniture,Storage,CUST1017,Arindam Ghosh,Consumer,Jessica Davis,1,9500,5,9025,6500,2525,Card
ORD018,1/6/2024,ST004,Houston,East,PRD404,Study Table,Furniture,Tables,CUST1018,Papiya Sen,Home Office,Jessica Davis,1,7500,0,7500,5200,2300,Cash
ORD019,1/6/2024,ST005,Houston,South,PRD503,Cooking Oil,Furniture,Oils,CUST1019,Murali Krishnan,Consumer,David Wilson,4,180,0,720,500,220,Cash
ORD020,1/6/2024,ST005,Houston,South,PRD504,Spices Pack,Furniture,Spices,CUST1020,Vasanthi Rajan,Consumer,David Wilson,6,90,0,540,350,190,Card
ORD021,1/7/2024,ST001,New York,West,PRD105,OnePlus Nord,Electronics,Smartphones,CUST1021,Kunal Mehta,Consumer,John Smith,2,32000,0,64000,50000,14000,Card
ORD022,1/7/2024,ST001,New York,West,PRD106,JBL Speaker,Electronics,Audio,CUST1022,Sneha Joshi,Consumer,John Smith,2,4500,5,8550,6000,2550,Online
ORD023,1/7/2024,ST002,Los Angeles,North,PRD205,Peter England Suit,Clothing,Formal Wear,CUST1023,Rohan Kapoor,Corporate,Emily Johnson,1,8500,12,7480,5500,1980,Card
ORD024,1/7/2024,ST002,Los Angeles,North,PRD206,Bata Sandals,Clothing,Footwear,CUST1024,Kavita Sharma,Consumer,Emily Johnson,2,1500,0,3000,2000,1000,Cash
ORD025,1/7/2024,ST003,Chicago,South,PRD305,Canon DSLR,Electronics,Cameras,CUST1025,Arjun Mehta,Consumer,Michael Brown,1,55000,5,52250,42000,10250,Card
ORD026,1/7/2024,ST003,Chicago,South,PRD306,Samsung Monitor,Electronics,Peripherals,CUST1026,Kavitha Prakash,Corporate,Michael Brown,2,18000,8,33120,26000,7120,Online
ORD027,1/7/2024,ST004,Houston,East,PRD405,Recliner Chair,Furniture,Chairs,CUST1027,Subir Bose,Consumer,Jessica Davis,1,22000,10,19800,15000,4800,Card
ORD028,1/7/2024,ST004,Houston,East,PRD406,Coffee Table,Furniture,Tables,CUST1028,Rima Mukherjee,Home Office,Jessica Davis,1,9000,0,9000,6200,2800,Cash
ORD029,1/7/2024,ST005,Houston,South,PRD505,Wheat Flour,Furniture,Grains,CUST1029,Chandran K,Consumer,David Wilson,10,60,0,600,400,200,Cash
ORD030,1/7/2024,ST005,Houston,South,PRD506,Tea Powder,Furniture,Beverages,CUST1030,Geetha S,Consumer,David Wilson,5,280,0,1400,1000,400,Card
ORD031,1/8/2024,ST001,New York,West,PRD107,Vivo V29,Electronics,Smartphones,CUST1031,Prakash Sawant,Consumer,John Smith,1,35000,5,33250,26000,7250,Online
ORD032,1/8/2024,ST001,New York,West,PRD108,Boat Earbuds,Electronics,Accessories,CUST1032,Shweta Patil,Consumer,John Smith,4,2000,0,8000,5000,3000,Card
ORD033,1/8/2024,ST002,Los Angeles,North,PRD207,Fabindia Kurta,Clothing,Ethnic Wear,CUST1033,Neelam Gupta,Consumer,Emily Johnson,2,3500,5,6650,4500,2150,Card
ORD034,1/8/2024,ST002,Los Angeles,North,PRD208,Puma T-shirt,Clothing,Sportswear,CUST1034,Ankit Goel,Consumer,Emily Johnson,3,1400,0,4200,2800,1400,Cash
ORD035,1/8/2024,ST003,Chicago,South,PRD307,iPad Air,Electronics,Tablets,CUST1035,Nithin Joseph,Corporate,Michael Brown,2,55000,5,104500,85000,19500,Card
ORD036,1/8/2024,ST003,Chicago,South,PRD308,Asus Router,Electronics,Networking,CUST1036,Shilpa Mathew,Home Office,Michael Brown,1,4500,0,4500,3000,1500,Online
ORD037,1/8/2024,ST004,Houston,East,PRD407,Wardrobe,Furniture,Storage,CUST1037,Tapan Pal,Consumer,Jessica Davis,1,28000,8,25760,20000,5760,Card
ORD038,1/8/2024,ST004,Houston,East,PRD408,Dining Table,Furniture,Tables,CUST1038,Nandini Das,Consumer,Jessica Davis,1,35000,5,33250,27000,6250,Cash
ORD039,1/8/2024,ST005,Houston,South,PRD507,Sugar,Furniture,Essentials,CUST1039,Prabhu R,Consumer,David Wilson,8,50,0,400,280,120,Cash
ORD040,1/8/2024,ST005,Houston,South,PRD508,Biscuits Pack,Furniture,Snacks,CUST1040,Meenakshi S,Consumer,David Wilson,12,40,0,480,300,180,Card
ORD041,1/9/2024,ST001,New York,West,PRD109,"MI TV 55""",Electronics,Televisions,CUST1041,Harshad Kale,Consumer,John Smith,1,42000,10,37800,30000,7800,Card
ORD042,1/9/2024,ST001,New York,West,PRD110,Philips Trimmer,Electronics,Grooming,CUST1042,Kiran More,Consumer,John Smith,2,2500,0,5000,3500,1500,Online
ORD043,1/9/2024,ST002,Los Angeles,North,PRD209,Rayban Sunglass,Clothing,Accessories,CUST1043,Siddharth Jain,Corporate,Emily Johnson,1,6500,8,5980,4000,1980,Card
ORD044,1/9/2024,ST002,Los Angeles,North,PRD210,Fastrack Watch,Clothing,Accessories,CUST1044,Nikita Singh,Consumer,Emily Johnson,2,3000,0,6000,4000,2000,Cash
ORD045,1/9/2024,ST003,Chicago,South,PRD309,GoPro Hero,Electronics,Cameras,CUST1045,Imran Khan,Consumer,Michael Brown,1,32000,5,30400,24000,6400,Card
ORD046,1/9/2024,ST003,Chicago,South,PRD310,Seagate HDD,Electronics,Storage,CUST1046,Ranjani R,Corporate,Michael Brown,3,5500,0,16500,12000,4500,Online
ORD047,1/9/2024,ST004,Houston,East,PRD409,Office Desk,Furniture,Desks,CUST1047,Sabyasachi Dey,Corporate,Jessica Davis,2,15000,10,27000,20000,7000,Card
ORD048,1/9/2024,ST004,Houston,East,PRD410,Bookshelf Rack,Furniture,Storage,CUST1048,Keya Saha,Home Office,Jessica Davis,1,8000,0,8000,5500,2500,Cash
ORD049,1/9/2024,ST005,Houston,South,PRD509,Detergent,Furniture,Household,CUST1049,Anand V,Consumer,David Wilson,5,280,0,1400,1000,400,Cash
ORD050,1/9/2024,ST005,Houston,South,PRD510,Dishwash Liquid,Furniture,Household,CUST1050,Uma K,Consumer,David Wilson,4,150,0,600,400,200,Card
ORD051,1/10/2024,ST001,New York,West,PRD111,Realme 11 Pro,Electronics,Smartphones,CUST1051,Vinod Tawde,Consumer,John Smith,2,28000,0,56000,43000,13000,Card
ORD052,1/10/2024,ST001,New York,West,PRD112,Amazon Echo,Electronics,Smart Home,CUST1052,Prajakta K,Consumer,John Smith,1,4500,5,4275,3000,1275,Online
ORD053,1/10/2024,ST002,Los Angeles,North,PRD211,USPA Polo,Clothing,Men's Wear,CUST1053,Yash Bhatia,Consumer,Emily Johnson,2,2200,0,4400,3000,1400,Cash
ORD054,1/10/2024,ST002,Los Angeles,North,PRD212,Levi's Jacket,Clothing,Winter Wear,CUST1054,Pooja Mehta,Consumer,Emily Johnson,1,5500,5,5225,3800,1425,Card
ORD055,1/10/2024,ST003,Chicago,South,PRD311,MacBook Air,Electronics,Computers,CUST1055,Harish K,Corporate,Michael Brown,2,95000,8,174800,150000,24800,Card
ORD056,1/10/2024,ST003,Chicago,South,PRD312,Epson Printer,Electronics,Peripherals,CUST1056,Savita G,Home Office,Michael Brown,1,12000,0,12000,9000,3000,Online
ORD057,1/10/2024,ST004,Houston,East,PRD411,Computer Chair,Furniture,Chairs,CUST1057,Debashish Roy,Corporate,Jessica Davis,4,6500,10,23400,17000,6400,Card
ORD058,1/10/2024,ST004,Houston,East,PRD412,Shoe Rack,Furniture,Storage,CUST1058,Mousumi Dey,Consumer,Jessica Davis,1,3500,0,3500,2400,1100,Cash
ORD059,1/10/2024,ST005,Houston,South,PRD511,Toothpaste,Furniture,Personal Care,CUST1059,Venkat R,Consumer,David Wilson,6,80,0,480,320,160,Cash
ORD060,1/10/2024,ST005,Houston,South,PRD512,Shampoo Sachet,Furniture,Personal Care,CUST1060,Padma V,Consumer,David Wilson,20,10,0,200,120,80,Card
ORD061,1/11/2024,ST001,New York,West,PRD113,Sony Bravia TV,Electronics,Televisions,CUST1061,Manoj Yadav,Consumer,John Smith,1,125000,12,110000,95000,15000,Card
ORD062,1/11/2024,ST001,New York,West,PRD114,Noise Watch,Electronics,Wearables,CUST1062,Rupali A,Consumer,John Smith,2,4000,0,8000,5500,2500,Online
ORD063,1/11/2024,ST002,Los Angeles,North,PRD213,Biba Dress,Clothing,Women's Wear,CUST1063,Nidhi Garg,Consumer,Emily Johnson,1,4200,5,3990,2800,1190,Card
ORD064,1/11/2024,ST002,Los Angeles,North,PRD214,Woodland Shoes,Clothing,Footwear,CUST1064,Tarun S,Corporate,Emily Johnson,2,5500,0,11000,7500,3500,Cash
ORD065,1/11/2024,ST003,Chicago,South,PRD313,Xiaomi Pad 6,Electronics,Tablets,CUST1065,Prashant N,Consumer,Michael Brown,1,28000,5,26600,21000,5600,Card
ORD066,1/11/2024,ST003,Chicago,South,PRD314,Zebronic Speaker,Electronics,Audio,CUST1066,Latha M,Home Office,Michael Brown,2,2200,0,4400,3000,1400,Online
ORD067,1/11/2024,ST004,Houston,East,PRD413,TV Stand,Furniture,Entertainment,CUST1067,Ujjwal Saha,Consumer,Jessica Davis,1,9500,5,9025,6500,2525,Card
ORD068,1/11/2024,ST004,Houston,East,PRD414,Bedside Table,Furniture,Tables,CUST1068,Sreya B,Consumer,Jessica Davis,2,4200,0,8400,6000,2400,Cash
ORD069,1/11/2024,ST005,Houston,South,PRD513,Maggi Noodles,Furniture,Snacks,CUST1069,Dinesh K,Consumer,David Wilson,12,15,0,180,110,70,Cash
ORD070,1/11/2024,ST005,Houston,South,PRD514,Pasta Pack,Furniture,Snacks,CUST1070,Radhika M,Consumer,David Wilson,5,85,0,425,280,145,Card
ORD071,1/12/2024,ST001,New York,West,PRD115,Bose Soundbar,Electronics,Audio,CUST1071,Amey Kulkarni,Corporate,John Smith,1,38000,8,34960,28000,6960,Card
ORD072,1/12/2024,ST001,New York,West,PRD116,Philips Iron,Electronics,Appliances,CUST1072,Urmila J,Consumer,John Smith,1,2500,0,2500,1700,800,Online
ORD073,1/12/2024,ST002,Los Angeles,North,PRD215,Manyavar Sherwani,Clothing,Ethnic Wear,CUST1073,Akash Agarwal,Consumer,Emily Johnson,1,12000,10,10800,8000,2800,Card
ORD074,1/12/2024,ST002,Los Angeles,North,PRD216,Jockey Innerwear,Clothing,Lingerie,CUST1074,Anushka R,Consumer,Emily Johnson,5,400,0,2000,1300,700,Cash
ORD075,1/12/2024,ST003,Chicago,South,PRD315,Nikon Coolpix,Electronics,Cameras,CUST1075,Ramesh Babu,Consumer,Michael Brown,1,24000,5,22800,18000,4800,Card
ORD076,1/12/2024,ST003,Chicago,South,PRD316,WD SSD,Electronics,Storage,CUST1076,Sushma K,Corporate,Michael Brown,3,6500,0,19500,14500,5000,Online
ORD077,1/12/2024,ST004,Houston,East,PRD415,Bar Stool,Furniture,Chairs,CUST1077,Abhik Ghosh,Consumer,Jessica Davis,4,3500,5,13300,9500,3800,Card
ORD078,1/12/2024,ST004,Houston,East,PRD416,Centre Table,Furniture,Tables,CUST1078,Paramita S,Home Office,Jessica Davis,1,11000,0,11000,8000,3000,Cash
ORD079,1/12/2024,ST005,Houston,South,PRD515,Pickle Jar,Furniture,Condiments,CUST1079,Sundar P,Consumer,David Wilson,3,120,0,360,240,120,Cash
ORD080,1/12/2024,ST005,Houston,South,PRD516,Honey Bottle,Furniture,Health Food,CUST1080,Anuradha K,Consumer,David Wilson,2,250,0,500,350,150,Card
ORD081,1/13/2024,ST001,New York,West,PRD117,Mivi Speaker,Electronics,Audio,CUST1081,Suhas P,Consumer,John Smith,2,1800,0,3600,2400,1200,Card
ORD082,1/13/2024,ST001,New York,West,PRD118,CP Plus CCTV,Electronics,Security,CUST1082,Farhan Q,Home Office,John Smith,1,8500,5,8075,6000,2075,Online
ORD083,1/13/2024,ST002,Los Angeles,North,PRD217,Marks & Spencer Shirt,Clothing,Formal Wear,CUST1083,Kunal Kohli,Corporate,Emily Johnson,2,3200,0,6400,4400,2000,Card
ORD084,1/13/2024,ST002,Los Angeles,North,PRD218,Hidesign Bag,Clothing,Accessories,CUST1084,Geeta M,Consumer,Emily Johnson,1,5500,8,5060,3800,1260,Cash
ORD085,1/13/2024,ST003,Chicago,South,PRD317,OnePlus TV,Electronics,Televisions,CUST1085,Shankar G,Consumer,Michael Brown,1,48000,10,43200,36000,7200,Card
ORD086,1/13/2024,ST003,Chicago,South,PRD318,Creative Speakers,Electronics,Audio,CUST1086,Anitha S,Consumer,Michael Brown,1,3800,0,3800,2600,1200,Online
ORD087,1/13/2024,ST004,Houston,East,PRD417,Folding Chair,Furniture,Chairs,CUST1087,Shyamal M,Consumer,Jessica Davis,6,1200,0,7200,5000,2200,Card
